COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,LOCALITY,SITE,LOCALITY ID,LATITUDE,LONGITUDE,TIMELINE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,PROTOCOL TYPE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,TRIP COMMENTS,SPECIES COMMENTS
Bananaquit,Coereba flaveola,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Cattle Egret,Bubulcus ibis,,,13,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,"Very familiar with this bird during migration in Michigan.large, ground walking warbler. Bobbing its tail constantly. Dark olive upper parts with yellow under parts with dark, heavy streaks. Bird was found in mangrove swamp.  We played tape, just one time, and the bird reacted very aggressively. Very thick yellowish supercilium. Unable to photograph."
Common Gallinule,Gallinula galeata,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Cattle Egret,Bubulcus ibis,,,13,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Pied-billed Grebe,Podilymbus podiceps,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Broad-winged Hawk,Buteo platypterus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Smooth-billed Ani,Crotophaga ani,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Bananaquit,Coereba flaveola,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Spectacled Thrush,Turdus nudigenis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Broad-winged Hawk,Buteo platypterus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Common Gallinule,Gallinula galeata,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Spectacled Thrush,Turdus nudigenis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Pied-billed Grebe,Podilymbus podiceps,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Smooth-billed Ani,Crotophaga ani,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Mangrove Cuckoo,Coccyzus minor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,
Northern Waterthrush,Parkesia noveboracensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr346927,Traveling,49,0.402,3,1,,"Very familiar with this bird during migration in Michigan.large, ground walking warbler. Bobbing its tail constantly. Dark olive upper parts with yellow under parts with dark, heavy streaks. Bird was found in mangrove swamp.  We played tape, just one time, and the bird reacted very aggressively. Very thick yellowish supercilium. Unable to photograph."
Mangrove Cuckoo,Coccyzus minor,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,03/03/2017,11:02:00,obsr267922,Traveling,49,0.402,3,1,,
Brown Pelican,Pelecanus occidentalis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Laughing Gull,Leucophaeus atricilla,,,7,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Semipalmated Plover,Charadrius semipalmatus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Zenaida Dove,Zenaida aurita,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Green Heron,Butorides virescens,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Spotted Sandpiper,Actitis macularius,,,6,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Tropical Mockingbird,Mimus gilvus,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Beach,LEV,L2320502,12.2250529,-61.6080236,pre,18/08/2017,14:13:00,obsr445771,Traveling,45,0.5,4,1,,
Spectacled Thrush,Turdus nudigenis,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Gray Kingbird,Tyrannus dominicensis,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Gray-rumped Swift,Chaetura cinereiventris,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Pied-billed Grebe,Podilymbus podiceps,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Bananaquit,Coereba flaveola,,,4,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Green Heron,Butorides virescens,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Tropical Mockingbird,Mimus gilvus,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Black-crowned Night-Heron,Nycticorax nycticorax,,,3,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,Seen on far side of pond across from tower. All obviously without white cheek stripe of Yellow-crowned.
Tricolored Heron,Egretta tricolor,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Laughing Gull,Leucophaeus atricilla,,,2,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,18/08/2017,14:54:00,obsr445771,Traveling,45,0.5,4,1,,
Great Egret,Ardea alba,,,1,,Grenada,GD,Saint Patrick,GD-06,Levera Observation Tower,LEV,L1264269,12.2194778,-61.6110194,pre,11/09/2017,5:50:00,obsr173215,Traveling,50,1,1,1,"Walked from Observation Tower to Levera Beach along Mangrove Path, returned along road.",
